Название,Год выпуска,Длительность,Описание_перевод,Рейтинг,Страна,Жанр,Обработанный текст,Токенизированный текст,Лематизированный текст,Токенезированный текст 2,Кластер,Категория кластера,Категория кластера моделирование
Развод Надера и Симин,2011,2h 3m,"Супружеская пара сталкивается с трудным решением - улучшить жизнь своего ребенка, переехав в другую страну или остаться в Иране и присматривать за ухудшением родителей, у которого болезнь Альцгеймера.",8.3,"Iran, France, Australia",Drama,"супружеская пара сталкивается с трудным решением - улучшить жизнь своего ребенка, переехав в другую страну или остаться в иране и присматривать за ухудшением родителей, у которого болезнь альцгеймера.","супружеская пара сталкивается трудным решением - улучшить жизнь своего ребенка , переехав другую страну остаться иране присматривать ухудшением родителей , которого болезнь альцгеймера .","супружеский пара сталкиваться трудный решение - улучшить жизнь свой ребёнок , переехать другой страна остаться иран присматривать ухудшение родитель , который болезнь альцгеймер .","['супружеская', 'пара', 'сталкивается', 'трудным', 'решением', '-', 'улучшить', 'жизнь', 'своего', 'ребенка', ',', 'переехав', 'другую', 'страну', 'остаться', 'иране', 'присматривать', 'ухудшением', 'родителей', ',', 'которого', 'болезнь', 'альцгеймера', '.']",3,"мотив разочарования, Герои сталкиваются с крахом иллюзий из-за наркотиков, одержимость над фальшивой реальности и войны.",
Убить пересмешника,1962,2h 9m,"Овдовевший адвокат в эпохе депрессии Алабамы защищает чернокожих от ложного обвинения в изнасиловании, обучая своих маленьких детей о печальной реальности предрассудков.",8.3,United States,"Crime, Drama","овдовевший адвокат в эпохе депрессии алабамы защищает чернокожих от ложного обвинения в изнасиловании, обучая своих маленьких детей о печальной реальности предрассудков.","овдовевший адвокат эпохе депрессии алабамы защищает чернокожих ложного обвинения изнасиловании , обучая своих маленьких детей печальной реальности предрассудков .","овдоветь адвокат эпоха депрессия алабама защищать чернокожий ложный обвинение изнасилование , обучать свой маленький ребёнок печальный реальность предрассудок .","['овдовевший', 'адвокат', 'эпохе', 'депрессии', 'алабамы', 'защищает', 'чернокожих', 'ложного', 'обвинения', 'изнасиловании', ',', 'обучая', 'своих', 'маленьких', 'детей', 'печальной', 'реальности', 'предрассудков', '.']",7,"Тени прошлого: преступность, рабство и борьба за выживание",
Оппенгеймер,2023,3h 0m,"Драматизация истории жизни Дж. Роберта Оппенгеймера, физика, у которого была большая рука в развитии атомных бомб, которые положили конец Второй мировой войне.",8.3,"United States, United Kingdom","Biography, Drama, History","драматизация истории жизни дж. роберта оппенгеймера, физика, у которого была большая рука в развитии атомных бомб, которые положили конец второй мировой войне.","драматизация истории жизни дж . роберта оппенгеймера , физика , которого большая рука развитии атомных бомб , положили конец второй мировой войне .","драматизация история жизнь дж . роберт оппенгеймер , физика , который больший рука развитие атомный бомба , положить конец второй мировой война .","['драматизация', 'истории', 'жизни', 'дж', '.', 'роберта', 'оппенгеймера', ',', 'физика', ',', 'которого', 'большая', 'рука', 'развитии', 'атомных', 'бомб', ',', 'положили', 'конец', 'второй', 'мировой', 'войне', '.']",5,"Вторая мировая война и её последствия: борьба, жертвы и судьбы семей",
Крепкий орешек,1988,2h 12m,"Полицейский из Нью -Йорка пытается спасти свою отчужденную жену и несколько других, взятых террористов во время рождественской вечеринки на Накатоми Плаза в Лос -Анджелесе.",8.2,United States,"Action, Thriller","полицейский из нью -йорка пытается спасти свою отчужденную жену и несколько других, взятых террористов во время рождественской вечеринки на накатоми плаза в лос -анджелесе.","полицейский нью -йорка пытается спасти отчужденную жену несколько других , взятых террористов время рождественской вечеринки накатоми плаза лос -анджелесе .","полицейский нью -йорк пытаться спасти отчудить жена несколько другой , взять террорист время рождественский вечеринка накатомь плаз лос -анджелес .","['полицейский', 'нью', '-йорка', 'пытается', 'спасти', 'отчужденную', 'жену', 'несколько', 'других', ',', 'взятых', 'террористов', 'время', 'рождественской', 'вечеринки', 'накатоми', 'плаза', 'лос', '-анджелесе', '.']",4,"Криминальные драмы: убийства, коррупция и борьба за справедливость в разных эпохах",
Афера,1973,2h 9m,"Два сбора объединяются, чтобы снять Ultimate Con.",8.3,United States,"Comedy, Crime, Drama","два сбора объединяются, чтобы снять ultimate con.","сбора объединяются , снять ultimate con .","сбор объединяться , снять ultimate con .","['сбора', 'объединяются', ',', 'снять', 'ultimate', 'con', '.']",7,"Тени прошлого: преступность, рабство и борьба за выживание",
Звёздочки на земле,2007,2h 42m,"Считается, что молодой мальчик не является чем -то иным, как ленивым нарушителем нарушителя, пока у нового учителя искусства не будет терпения и сострадания, чтобы обнаружить реальную проблему, стоящую за его борьбой в школе.",8.3,India,"Drama, Family","считается, что молодой мальчик не является чем -то иным, как ленивым нарушителем нарушителя, пока у нового учителя искусства не будет терпения и сострадания, чтобы обнаружить реальную проблему, стоящую за его борьбой в школе.","считается , молодой мальчик является -то иным , ленивым нарушителем нарушителя , пока нового учителя искусства терпения сострадания , обнаружить реальную проблему , стоящую борьбой школе .","считаться , молодой мальчик являться -то иной , ленивый нарушитель нарушитель , пока новый учитель искусство терпение сострадание , обнаружить реальный проблема , стоящий борьба школа .","['считается', ',', 'молодой', 'мальчик', 'является', '-то', 'иным', ',', 'ленивым', 'нарушителем', 'нарушителя', ',', 'пока', 'нового', 'учителя', 'искусства', 'терпения', 'сострадания', ',', 'обнаружить', 'реальную', 'проблему', ',', 'стоящую', 'борьбой', 'школе', '.']",2,столкновение с неожиданными последствиями своих действий в путешествие,
Индиана Джонс и последний крестовый поход,1989,2h 7m,"В 1938 году, после того, как его отец пропал без вести, преследуя Святой Грааль, Индиана Джонс снова оказывается против нацистов, чтобы помешать им получить свои силы.",8.2,United States,"Action, Adventure","в 1938 году, после того, как его отец пропал без вести, преследуя святой грааль, индиана джонс снова оказывается против нацистов, чтобы помешать им получить свои силы.","1938 году , , отец пропал вести , преследуя святой грааль , индиана джонс снова оказывается против нацистов , помешать получить свои силы .","1938 год , , отец пропасть вести , преследовать святой грааль , индиана джонс снова оказываться против нацист , помешать получить свой сила .","['1938', 'году', ',', ',', 'отец', 'пропал', 'вести', ',', 'преследуя', 'святой', 'грааль', ',', 'индиана', 'джонс', 'снова', 'оказывается', 'против', 'нацистов', ',', 'помешать', 'получить', 'свои', 'силы', '.']",0,"антологию в жанре психологического триллера, криминальной драмы и приключенческого экшна",
Метрополис,1927,2h 33m,"В футуристическом городе, резко разделенном между рабочим классом и планировщиками города, сын вдохновителя города влюбляется в пророка рабочего класса, который предсказывает приход спасителя, чтобы опосредовать их различия.",8.3,Germany,"Drama, Sci-Fi","в футуристическом городе, резко разделенном между рабочим классом и планировщиками города, сын вдохновителя города влюбляется в пророка рабочего класса, который предсказывает приход спасителя, чтобы опосредовать их различия.","футуристическом городе , резко разделенном рабочим классом планировщиками города , сын вдохновителя города влюбляется пророка рабочего класса , предсказывает приход спасителя , опосредовать различия .","футуристический город , резко разделить рабочий класс планировщик город , сын вдохновитель город влюбляться пророк рабочий класс , предсказывать приход спаситель , опосредовать различие .","['футуристическом', 'городе', ',', 'резко', 'разделенном', 'рабочим', 'классом', 'планировщиками', 'города', ',', 'сын', 'вдохновителя', 'города', 'влюбляется', 'пророка', 'рабочего', 'класса', ',', 'предсказывает', 'приход', 'спасителя', ',', 'опосредовать', 'различия', '.']",1,"кризисом идентичности, социальной несправедливостью и борьбой за выживание",
Большой куш,2000,1h 44m,"Ноблезные боксерские промоутеры, жестокие букмекеры, русский гангстер, некомпетентные грабители -любители и предположительно еврейские ювелиры борются за то, чтобы выследить бесценный украденный бриллиант.",8.2,"United Kingdom, United States","Comedy, Crime","ноблезные боксерские промоутеры, жестокие букмекеры, русский гангстер, некомпетентные грабители -любители и предположительно еврейские ювелиры борются за то, чтобы выследить бесценный украденный бриллиант.","ноблезные боксерские промоутеры , жестокие букмекеры , русский гангстер , некомпетентные грабители -любители предположительно еврейские ювелиры борются , выследить бесценный украденный бриллиант .","ноблезный боксёрский промоутер , жестокий букмекер , русский гангстер , некомпетентный грабитель -любитель предположительно еврейский ювелир бороться , выследить бесценный украсть бриллиант .","['ноблезные', 'боксерские', 'промоутеры', ',', 'жестокие', 'букмекеры', ',', 'русский', 'гангстер', ',', 'некомпетентные', 'грабители', '-любители', 'предположительно', 'еврейские', 'ювелиры', 'борются', ',', 'выследить', 'бесценный', 'украденный', 'бриллиант', '.']",1,"кризисом идентичности, социальной несправедливостью и борьбой за выживание",
1917,2019,1h 59m,"6 апреля 1917 года. Поскольку пехотный батальон собирается, чтобы вести войну глубоко на территории противника, два солдата назначаются для участия в гонке со временем и донести послание, которое остановит 1600 человек не выйти прямо в смертельную ловушку.",8.2,"United Kingdom, United States, India, Spain, Canada","Action, Drama, War","6 апреля 1917 года. поскольку пехотный батальон собирается, чтобы вести войну глубоко на территории противника, два солдата назначаются для участия в гонке со временем и донести послание, которое остановит 1600 человек не выйти прямо в смертельную ловушку.","6 апреля 1917 года . поскольку пехотный батальон собирается , вести войну глубоко территории противника , солдата назначаются участия гонке временем донести послание , которое остановит 1600 человек выйти прямо смертельную ловушку .","6 апрель 1917 год . поскольку пехотный батальон собираться , вести война глубоко территория противник , солдат назначаться участие гонка время донести послание , который остановить 1600 человек выйти прямо смертельный ловушка .","['6', 'апреля', '1917', 'года', '.', 'поскольку', 'пехотный', 'батальон', 'собирается', ',', 'вести', 'войну', 'глубоко', 'территории', 'противника', ',', 'солдата', 'назначаются', 'участия', 'гонке', 'временем', 'донести', 'послание', ',', 'которое', 'остановит', '1600', 'человек', 'выйти', 'прямо', 'смертельную', 'ловушку', '.']",3,"мотив разочарования, Герои сталкиваются с крахом иллюзий из-за наркотиков, одержимость над фальшивой реальности и войны.",
Секреты Лос-Анджелеса,1997,2h 18m,"По мере роста коррупции в 1950 -х годах Лос -Анджелеса, три полицейских - один из проливных, один жестокий и один неряшливый - расследуйте серию убийств со своим собственным брендом справедливости.",8.2,United States,"Crime, Drama, Mystery","по мере роста коррупции в 1950 -х годах лос -анджелеса, три полицейских - один из проливных, один жестокий и один неряшливый - расследуйте серию убийств со своим собственным брендом справедливости.","мере роста коррупции 1950 -х годах лос -анджелеса , полицейских - проливных , жестокий неряшливый - расследуйте серию убийств своим собственным брендом справедливости .","мера рост коррупция 1950 -х год лос -анджелес , полицейский - проливный , жестокий неряшливый - расследовать серия убийство свой собственный бренд справедливость .","['мере', 'роста', 'коррупции', '1950', '-х', 'годах', 'лос', '-анджелеса', ',', 'полицейских', '-', 'проливных', ',', 'жестокий', 'неряшливый', '-', 'расследуйте', 'серию', 'убийств', 'своим', 'собственным', 'брендом', 'справедливости', '.']",4,"Криминальные драмы: убийства, коррупция и борьба за справедливость в разных эпохах",
Похитители велосипедов,1948,1h 29m,"В послевоенной Италии похищен велосипед рабочего класса, угрожая его усилиям по поиску работы. Он и его сын решили найти это.",8.2,Italy,Drama,"в послевоенной италии похищен велосипед рабочего класса, угрожая его усилиям по поиску работы. он и его сын решили найти это.","послевоенной италии похищен велосипед рабочего класса , угрожая усилиям поиску работы . сын решили найти .","послевоенный италия похитить велосипед рабочий класс , угрожать усилие поиск работа . сын решить найти .","['послевоенной', 'италии', 'похищен', 'велосипед', 'рабочего', 'класса', ',', 'угрожая', 'усилиям', 'поиску', 'работы', '.', 'сын', 'решили', 'найти', '.']",1,"кризисом идентичности, социальной несправедливостью и борьбой за выживание",
Бункер,2004,2h 36m,"Траудл Юнге, финальный секретарь Адольфа Гитлера, рассказывает о последних днях нацистского диктатора в его Берлинском бункере в конце Второй мировой войны.",8.2,"Germany, Austria, Italy","Biography, Drama, History","траудл юнге, финальный секретарь адольфа гитлера, рассказывает о последних днях нацистского диктатора в его берлинском бункере в конце второй мировой войны.","траудл юнге , финальный секретарь адольфа гитлера , рассказывает последних днях нацистского диктатора берлинском бункере конце второй мировой войны .","траудло юнга , финальный секретарь адольф гитлер , рассказывать последний день нацистский диктатор берлинский бункер конец второй мировой война .","['траудл', 'юнге', ',', 'финальный', 'секретарь', 'адольфа', 'гитлера', ',', 'рассказывает', 'последних', 'днях', 'нацистского', 'диктатора', 'берлинском', 'бункере', 'конце', 'второй', 'мировой', 'войны', '.']",5,"Вторая мировая война и её последствия: борьба, жертвы и судьбы семей",
Дангал. Слово борца,2016,2h 41m,"Махавир Сингх Фогат, бывший борец, решает осуществить свою мечту о завоевании золотой медаль для своей страны, обучая своих дочерей для Игр Содружества, несмотря на существующие социальные стигмы.",8.3,"India, United States","Action, Biography, Drama","махавир сингх фогат, бывший борец, решает осуществить свою мечту о завоевании золотой медаль для своей страны, обучая своих дочерей для игр содружества, несмотря на существующие социальные стигмы.","махавир сингх фогат , бывший борец , решает осуществить мечту завоевании золотой медаль своей страны , обучая своих дочерей игр содружества , несмотря существующие социальные стигмы .","махавира сингха фогатый , бывший борец , решать осуществить мечта завоевание золотой медаль свой страна , обучать свой дочь игра содружество , несмотря существующий социальный стигма .","['махавир', 'сингх', 'фогат', ',', 'бывший', 'борец', ',', 'решает', 'осуществить', 'мечту', 'завоевании', 'золотой', 'медаль', 'своей', 'страны', ',', 'обучая', 'своих', 'дочерей', 'игр', 'содружества', ',', 'несмотря', 'существующие', 'социальные', 'стигмы', '.']",2,столкновение с неожиданными последствиями своих действий в путешествие,
Таксист,1976,1h 54m,"Мраво неуравновешенный ветеран работает ночным таксистом в Нью -Йорке, где воспринимаемый декаданс и подлости подпитывают его стремление к насильственным действиям.",8.2,United States,"Crime, Drama","мраво неуравновешенный ветеран работает ночным таксистом в нью -йорке, где воспринимаемый декаданс и подлости подпитывают его стремление к насильственным действиям.","мраво неуравновешенный ветеран работает ночным таксистом нью -йорке , воспринимаемый декаданс подлости подпитывают стремление насильственным действиям .","мраво неуравновешенный ветеран работать ночной таксист нью -йорк , воспринимать декаданс подлость подпитывать стремление насильственный действие .","['мраво', 'неуравновешенный', 'ветеран', 'работает', 'ночным', 'таксистом', 'нью', '-йорке', ',', 'воспринимаемый', 'декаданс', 'подлости', 'подпитывают', 'стремление', 'насильственным', 'действиям', '.']",0,"антологию в жанре психологического триллера, криминальной драмы и приключенческого экшна",
Гамильтон,2020,2h 40m,Реальная жизнь одного из главных отцов -основателей Америки и первого секретаря казначейства Александр Гамильтон. Захватил в прямом эфире на Бродвее из театра Ричарда Роджерса с оригинальным бродвейским актерским составом.,8.3,United States,"Biography, Drama, History",реальная жизнь одного из главных отцов -основателей америки и первого секретаря казначейства александр гамильтон. захватил в прямом эфире на бродвее из театра ричарда роджерса с оригинальным бродвейским актерским составом.,реальная жизнь одного главных отцов -основателей америки первого секретаря казначейства александр гамильтон . захватил прямом эфире бродвее театра ричарда роджерса оригинальным бродвейским актерским составом .,реальный жизнь один главный отец -основатель америка первый секретарь казначейство александр гамильтон . захватить прямой эфир бродвей театр ричард роджёрса оригинальный бродвейский актёрский состав .,"['реальная', 'жизнь', 'одного', 'главных', 'отцов', '-основателей', 'америки', 'первого', 'секретаря', 'казначейства', 'александр', 'гамильтон', '.', 'захватил', 'прямом', 'эфире', 'бродвее', 'театра', 'ричарда', 'роджерса', 'оригинальным', 'бродвейским', 'актерским', 'составом', '.']",3,"мотив разочарования, Герои сталкиваются с крахом иллюзий из-за наркотиков, одержимость над фальшивой реальности и войны.",
Волк с Уолл-стрит,2013,3h 0m,"Основываясь на истинной истории Джордана Белфорта, от его подъема до богатого фондового брокера, проживающего высокую жизнь до его падения, связанного с преступностью, коррупцией и федеральным правительством.",8.2,United States,"Biography, Comedy, Crime","основываясь на истинной истории джордана белфорта, от его подъема до богатого фондового брокера, проживающего высокую жизнь до его падения, связанного с преступностью, коррупцией и федеральным правительством.","основываясь истинной истории джордана белфорта , подъема богатого фондового брокера , проживающего высокую жизнь падения , связанного преступностью , коррупцией федеральным правительством .","основываться истинный история джордан белфорт , подъём богатый фондовый брокер , проживать высокий жизнь падение , связанный преступность , коррупция федеральный правительство .","['основываясь', 'истинной', 'истории', 'джордана', 'белфорта', ',', 'подъема', 'богатого', 'фондового', 'брокера', ',', 'проживающего', 'высокую', 'жизнь', 'падения', ',', 'связанного', 'преступностью', ',', 'коррупцией', 'федеральным', 'правительством', '.']",4,"Криминальные драмы: убийства, коррупция и борьба за справедливость в разных эпохах",
Бэтмен: Начало,2005,2h 20m,"Свидев смерть своих родителей, миллиардер Брюс Уэйн узнает искусство борьбы, чтобы противостоять несправедливости. Когда он возвращается в Готэм в роли Бэтмена, он должен остановить секретное общество, которое намеревается уничтожить город.",8.2,"United States, United Kingdom","Action, Drama","свидев смерть своих родителей, миллиардер брюс уэйн узнает искусство борьбы, чтобы противостоять несправедливости. когда он возвращается в готэм в роли бэтмена, он должен остановить секретное общество, которое намеревается уничтожить город.","свидев смерть своих родителей , миллиардер брюс уэйн узнает искусство борьбы , противостоять несправедливости . возвращается готэм роли бэтмена , должен остановить секретное общество , которое намеревается уничтожить город .","свидеть смерть свой родитель , миллиардер брюс уэйн узнать искусство борьба , противостоять несправедливость . возвращаться готэма роль бэтмена , должный остановить секретный общество , который намереваться уничтожить город .","['свидев', 'смерть', 'своих', 'родителей', ',', 'миллиардер', 'брюс', 'уэйн', 'узнает', 'искусство', 'борьбы', ',', 'противостоять', 'несправедливости', '.', 'возвращается', 'готэм', 'роли', 'бэтмена', ',', 'должен', 'остановить', 'секретное', 'общество', ',', 'которое', 'намеревается', 'уничтожить', 'город', '.']",7,"Тени прошлого: преступность, рабство и борьба за выживание",
Зеленая книга,2018,2h 10m,Итальянско-американский вышибала рабочего класса становится движущей силой афроамериканского классического пианиста в туре по местам по американскому югу 1960-х годов.,8.2,"United States, China","Biography, Comedy, Drama",итальянско-американский вышибала рабочего класса становится движущей силой афроамериканского классического пианиста в туре по местам по американскому югу 1960-х годов.,итальянско-американский вышибала рабочего класса становится движущей силой афроамериканского классического пианиста туре местам американскому югу 1960-х годов .,итальянско-американский вышибать рабочий класс становиться движущий сила афроамериканский классический пианист тур место американский юг 1960-й год .,"['итальянско-американский', 'вышибала', 'рабочего', 'класса', 'становится', 'движущей', 'силой', 'афроамериканского', 'классического', 'пианиста', 'туре', 'местам', 'американскому', 'югу', '1960-х', 'годов', '.']",0,"антологию в жанре психологического триллера, криминальной драмы и приключенческого экшна",
На несколько долларов больше,1965,2h 12m,"Два убийцы наградных с аналогичными намерениями, но различные мотивы объединяются, чтобы выследить психотический мексиканский преступник, прежде чем он и его банда смогут выполнить смелое ограбление банка.",8.2,"Italy, Spain, West Germany","Drama, Western","два убийцы наградных с аналогичными намерениями, но различные мотивы объединяются, чтобы выследить психотический мексиканский преступник, прежде чем он и его банда смогут выполнить смелое ограбление банка.","убийцы наградных аналогичными намерениями , различные мотивы объединяются , выследить психотический мексиканский преступник , прежде банда смогут выполнить смелое ограбление банка .","убийца наградной аналогичный намерение , различный мотив объединяться , выследить психотический мексиканский преступник , прежде банда смочь выполнить смелый ограбление банк .","['убийцы', 'наградных', 'аналогичными', 'намерениями', ',', 'различные', 'мотивы', 'объединяются', ',', 'выследить', 'психотический', 'мексиканский', 'преступник', ',', 'прежде', 'банда', 'смогут', 'выполнить', 'смелое', 'ограбление', 'банка', '.']",0,"антологию в жанре психологического триллера, криминальной драмы и приключенческого экшна",
Шоу Трумана,1998,1h 43m,"Продавец страхования начинает подозревать, что вся его жизнь на самом деле является своего рода реалити -шоу.",8.2,United States,"Comedy, Drama","продавец страхования начинает подозревать, что вся его жизнь на самом деле является своего рода реалити -шоу.","продавец страхования начинает подозревать , вся жизнь самом деле является своего рода реалити -шоу .","продавец страхование начинать подозревать , весь жизнь сам дело являться свой род реалить -шоу .","['продавец', 'страхования', 'начинает', 'подозревать', ',', 'вся', 'жизнь', 'самом', 'деле', 'является', 'своего', 'рода', 'реалити', '-шоу', '.']",3,"мотив разочарования, Герои сталкиваются с крахом иллюзий из-за наркотиков, одержимость над фальшивой реальности и войны.",
Нюрнбергский процесс,1961,2h 59m,"Художественное изображение судей 1947 года, третье из двенадцати судебных процессов нацистских военных преступников, проведенных американскими оккупационными силами в Нюрнберге, Германия, в которых бывшие судьи нацистской Германии были предприняты для их действий.",8.3,United States,"Drama, War","художественное изображение судей 1947 года, третье из двенадцати судебных процессов нацистских военных преступников, проведенных американскими оккупационными силами в нюрнберге, германия, в которых бывшие судьи нацистской германии были предприняты для их действий.","художественное изображение судей 1947 года , третье двенадцати судебных процессов нацистских военных преступников , проведенных американскими оккупационными силами нюрнберге , германия , бывшие судьи нацистской германии предприняты действий .","художественный изображение судья 1947 год , третий двенадцать судебный процесс нацистский военный преступник , провести американский оккупационный сила нюрнберг , германия , бывший судья нацистский германия предпринять действие .","['художественное', 'изображение', 'судей', '1947', 'года', ',', 'третье', 'двенадцати', 'судебных', 'процессов', 'нацистских', 'военных', 'преступников', ',', 'проведенных', 'американскими', 'оккупационными', 'силами', 'нюрнберге', ',', 'германия', ',', 'бывшие', 'судьи', 'нацистской', 'германии', 'предприняты', 'действий', '.']",0,"антологию в жанре психологического триллера, криминальной драмы и приключенческого экшна",
В джазе только девушки,1959,2h 1m,"После того, как два музыканта-мужчины стали свидетелями хита толпы, они бежат от государства в группе, замаскированной как женщины, замаскированной как женщины, но возникают дальнейшие осложнения.",8.2,United States,"Comedy, Music, Romance","после того, как два музыканта-мужчины стали свидетелями хита толпы, они бежат от государства в группе, замаскированной как женщины, замаскированной как женщины, но возникают дальнейшие осложнения.",", музыканта-мужчины стали свидетелями хита толпы , бежат государства группе , замаскированной женщины , замаскированной женщины , возникают дальнейшие осложнения .",", музыкант-мужчина стать свидетель хит толпа , бежонок государство группа , замаскированный женщина , замаскированный женщина , возникать дальнейший осложнение .","[',', 'музыканта-мужчины', 'стали', 'свидетелями', 'хита', 'толпы', ',', 'бежат', 'государства', 'группе', ',', 'замаскированной', 'женщины', ',', 'замаскированной', 'женщины', ',', 'возникают', 'дальнейшие', 'осложнения', '.']",10,"Испытания судьбы: от детских мечтаний до исторических битв за правду, преодолением трудностей и надеждой выбором пути ",
Малыш,1921,1h 8m,"Бродяга заботится о брошенном ребенке, но события подвергают их отношениям их отношения.",8.2,United States,"Comedy, Drama, Family","бродяга заботится о брошенном ребенке, но события подвергают их отношениям их отношения.","бродяга заботится брошенном ребенке , события подвергают отношениям отношения .","бродяга заботиться бросить ребёнок , событие подвергать отношение отношение .","['бродяга', 'заботится', 'брошенном', 'ребенке', ',', 'события', 'подвергают', 'отношениям', 'отношения', '.']",7,"Тени прошлого: преступность, рабство и борьба за выживание",
